hittypeid,workerid,pending,completed,approved,rejected,suspicious,blocked,avghittime,relevance_stdev,sentiment_stdev,position_stdev
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A3E9I6IQ7A1HEC,0,31,31,0,0,0,60.16129032,0.875250819,0.906909479,0.930697407
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A2LNEZ008UIGUS,0,947,947,0,0,0,226.6810982,0.979208225,0.868115567,0.903852032
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A1FKNQYXMXUKY4,0,2712,2712,0,0,0,52.21533923,0.435310529,0.732935047,0.732415845
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A3GHRUVWAAVZYB,0,59,59,0,0,0,56.77966102,1.111494875,0.954437337,0.914412152
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A2E676OPDBV77O,0,632,632,0,0,0,141.568038,1.252632023,0.969684655,0.888023706
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A3QVZ4YX0577MF,0,378,378,0,0,0,135.5634921,0.839495723,0.930691029,0.978787753
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,AS3BSFKKBAN8J,0,684,684,0,0,0,585.4239766,1.386686032,1.175314778,1.268169985
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A1HQIKO7QMY6DZ,0,43,43,0,0,0,84.81395349,0.872248048,0.844399316,0.908878679
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A14XY4KSUATVAA,0,161,161,0,0,0,62.8136646,0.455813453,0.9389622,0.631991393
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A2PPTAURU5AAQB,0,133,133,0,0,0,26.54135338,0.942693067,1.060921885,1.07637746
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A2LZWIF027IT7B,0,38,38,0,0,0,70.23684211,0.830694691,0.950473941,0.949222098
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,AW0K78T4I2T72,0,369,369,0,0,0,316.9620596,0.716794163,0.831956989,0.839243053
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A3MZUMSFO3WCJT,0,244,244,0,0,0,108.5286885,0.843804587,1.028776285,0.973401099
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,APJOGDTBOBKP8,0,637,637,0,0,0,68.4411303,0.619067344,0.728659966,0.736125752
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A15URDDVKL570N,0,153,153,0,0,0,1154.176471,1.008274536,0.954329526,0.926839616
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A1UIH2IMG9DV95,0,38,38,0,0,0,122.1052632,0.93661662,0.715450891,0.549378758
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A233ONYNWKDIYF,0,16,16,0,0,0,58.5625,1,0.852131145,0.961333583
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,AYJF016ITKKW9,0,993,993,0,0,0,151.4874119,0.578082454,0.461513808,0.709780082
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A209Y30PABAL9G,0,5,5,0,0,0,-9,0.804673847,0.476969601,0.632455532
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A2RW279IKQQSNC,0,127,127,0,0,0,78,1.150724836,1.016637131,1.051146417
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A1UF2ENB3PIGHX,0,111,111,0,0,0,93.91891892,1.177828876,0.804166446,1.038895476
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A3O81LHBBI8NPK,0,410,410,0,0,0,203.8926829,1.095960724,0.395922976,0.488088236
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A2H18EYM79ZRCW,0,965,965,0,0,0,319.0590674,0.651831748,0.663082197,0.81341009
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A216Y6S1M96CSR,0,14,14,0,0,0,82.21428571,0.939496174,1.021463866,0.798595706
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A68PQP2VAVN8D,0,40,40,0,0,0,78.175,0.957678671,0.907090921,0.814279206
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A1YJ2LFEBJGQ4G,0,215,215,0,0,0,112.3023256,1.217691718,0.611150718,0.677264435
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,AE2LZ5FSCSGYR,0,982,982,0,0,0,53.30142566,0.594545767,0.294727595,0.407888512
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A2AR2PLDAHHB28,0,618,618,0,0,0,112.7071197,0.834216941,1.107147916,1.024596876
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A35N6YG5PP56QP,0,343,343,0,0,0,262.0699708,0.697220964,1.034909233,1.00953797
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A176PLYJ2VNRII,0,129,129,0,0,0,73.62790698,0.991718003,0.621645277,0.808139797
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,A2USD3XJ7TU9Y7,0,660,660,0,0,0,147.6469697,0.745879021,0.588568666,0.720216305
2FYCOW0LGRZ57Q7S7ZXVXUZWDSI8ZL,AC5GJC8OEM9TA,0,560,560,0,0,0,162.2767857,0.753633709,0.585513151,0.585885002
