worker_id,completed,approved,rejected,blocked,avghittime,relevance_stdev,sentiment_stdev,position_stdev
212,31,31,0,0,60.16129032,0.875250819,0.906909479,0.930697407
58,947,947,0,0,226.6810982,0.979208225,0.868115567,0.903852032
18,2712,2712,0,0,52.21533923,0.435310529,0.732935047,0.732415845
41,59,59,0,0,56.77966102,1.111494875,0.954437337,0.914412152
34,632,632,0,0,141.568038,1.252632023,0.969684655,0.888023706
71,378,378,0,0,135.5634921,0.839495723,0.930691029,0.978787753
112,684,684,0,0,585.4239766,1.386686032,1.175314778,1.268169985
134,43,43,0,0,84.81395349,0.872248048,0.844399316,0.908878679
159,161,161,0,0,62.8136646,0.455813453,0.9389622,0.631991393
279,133,133,0,0,26.54135338,0.942693067,1.060921885,1.07637746
310,38,38,0,0,70.23684211,0.830694691,0.950473941,0.949222098
114,369,369,0,0,316.9620596,0.716794163,0.831956989,0.839243053
123,244,244,0,0,108.5286885,0.843804587,1.028776285,0.973401099
42,637,637,0,0,68.4411303,0.619067344,0.728659966,0.736125752
84,153,153,0,0,1154.176471,1.008274536,0.954329526,0.926839616
192,38,38,0,0,122.1052632,0.93661662,0.715450891,0.549378758
436,16,16,0,0,58.5625,1,0.852131145,0.961333583
74,993,993,0,0,151.4874119,0.578082454,0.461513808,0.709780082
747,5,5,0,0,-9,0.804673847,0.476969601,0.632455532
81,127,127,0,0,78,1.150724836,1.016637131,1.051146417
323,111,111,0,0,93.91891892,1.177828876,0.804166446,1.038895476
132,410,410,0,0,203.8926829,1.095960724,0.395922976,0.488088236
7,965,965,0,0,319.0590674,0.651831748,0.663082197,0.81341009
407,14,14,0,0,82.21428571,0.939496174,1.021463866,0.798595706
291,40,40,0,0,78.175,0.957678671,0.907090921,0.814279206
22,215,215,0,0,112.3023256,1.217691718,0.611150718,0.677264435
60,982,982,0,0,53.30142566,0.594545767,0.294727595,0.407888512
85,618,618,0,0,112.7071197,0.834216941,1.107147916,1.024596876
8,343,343,0,0,262.0699708,0.697220964,1.034909233,1.00953797
129,129,129,0,0,73.62790698,0.991718003,0.621645277,0.808139797
31,660,660,0,0,147.6469697,0.745879021,0.588568666,0.720216305
32,560,560,0,0,162.2767857,0.753633709,0.585513151,0.585885002
101,322,322,0,0,160.9099379,0.654649527,1.150639889,1.127073476
6,955,955,0,0,38.41570681,0.772430142,1.150268956,1.111572909
82,66,66,0,0,86.15151515,0.942535071,1.158068354,1.15269971
158,309,309,0,0,233.6440129,0.870064289,0.620969317,0.617404051
37,806,806,0,0,360.5,0.435348536,0.595604974,0.881611302
351,11,11,0,0,65.63636364,1.021210997,0.841829963,0.833324319
79,31,31,0,0,122.7096774,1,1.113336852,1.172131148
56,255,255,0,0,258.5607843,1.054402535,0.674230128,0.836508193
196,15,15,0,0,96.06666667,0.822597512,1.043440269,1.153538951
456,3,3,0,0,-9,1.213351648,1.212878551,1.19226155
3,412,412,0,0,54.05825243,0.658449282,0.895897299,0.801567768
109,124,124,0,0,59.36290323,1.018907412,0.826291053,0.820368132
70,311,311,0,0,53.91318328,0.936148039,0.826327659,0.89376254
144,75,75,0,0,8931.053333,0.970772888,1.046864225,1.107324766
306,12,12,0,0,118.6666667,1.028879852,1.019549312,1.072292268
1,463,463,0,0,127.1684665,1.051247363,0.605621717,0.888773995
474,36,36,0,0,165.5833333,0.819209006,0.770829256,1.09354656
595,6,6,0,0,-9,0.927024811,0.897527468,0.927024811
76,168,168,0,0,81,0.775273341,1.082694547,1.175544201
80,213,213,0,0,113.8450704,0.470456738,1.076326501,1.094618284
1119,1,1,0,0,-9,-9,-9,-9
915,5,5,0,0,-9,1.345362405,1.444818328,1.468034282
806,6,6,0,0,-9,0.538451999,0.978057883,0.877971146
807,2,2,0,0,-9,-9,-9,-9
185,24,24,0,0,94.91666667,1.068762183,1.026281851,1.087754511
469,10,10,0,0,87.2,0.805838073,0.733143915,1.023474475
316,13,13,0,0,74.46153846,1.065009654,1.070596883,1.07565087
234,14,14,0,0,92.07142857,0.589015089,1.269239689,1.330447025
319,15,15,0,0,100.2666667,1.02252411,0.606864874,0.624133988
219,68,68,0,0,36.23529412,0.888451656,1.192811028,1.233275442
370,19,19,0,0,96.31578947,0.838293181,1.171863967,1.138428299
94,34,34,0,0,275.9411765,0.805474349,1.099596748,1.100007966
128,23,23,0,0,53.04347826,0.935730056,0.90301279,0.871779789
190,65,65,0,0,1152.646154,1.168439763,1.14738576,1.079468146
371,1,1,0,0,-9,-9,-9,-9
233,4,4,0,0,-9,0.390312375,1.111024302,1.118033989
206,41,41,0,0,105.4634146,0.99455687,0.954939857,1.079758707
207,1,1,0,0,-9,-9,-9,-9
162,163,163,0,0,60.20245399,0.672381163,0.895883408,0.950308338
208,10,10,0,0,7581.9,0.92161543,0.900959708,0.956182887
78,124,124,0,0,72.89516129,1.000357636,0.86487486,0.910479491
194,62,62,0,0,62.14516129,1.219789722,1.251808534,1.249095923
218,187,187,0,0,53.02673797,0.840817692,0.5794462,0.524004222
493,4,4,0,0,-9,0.242061459,1.198957881,1.198957881
419,85,85,0,0,980.3058824,0.696077741,0.71331261,0.700321231
786,9,9,0,0,-9,0,1.275360031,1.381926996
417,22,22,0,0,61.90909091,0.791222508,1.249770125,1.261400151
494,2,2,0,0,-9,-9,-9,-9
25,630,630,0,0,67.05396825,0.91302539,0.581266004,0.793470655
488,9,9,0,0,-9,0.98248551,0.937474279,1.054092553
530,4,4,0,0,-9,0.916429894,1.218349293,1.223149112
1110,5,1,4,0,-9,0.476969601,0.217944947,0.3
10,386,386,0,0,597.4378238,0.906805836,1.247047371,1.352102302
489,11,11,0,0,78.81818182,0.915883713,0.776727613,0.889272616
15,345,345,0,0,106.4,0.872693347,0.802127839,0.872330202
1176,1,1,0,0,-9,-9,-9,-9
729,5,5,0,0,-9,1.067707825,1.38443731,1.38443731
1003,2,2,0,0,-9,-9,-9,-9
93,23,23,0,0,158.8695652,0.368123787,1.319611775,1.290506268
733,3,3,0,0,-9,0.897527468,1.135781669,0.953462589
148,42,42,0,0,56.47619048,0.931010228,1.212273664,1.184203476
1018,1,1,0,0,-9,-9,-9,-9
249,126,126,0,0,51.46825397,0.238879331,1.087641877,1.083266104
44,634,634,0,0,24033.35174,0.786042635,1.200138729,1.28921322
1065,1,1,0,0,-9,-9,-9,-9
799,2,2,0,0,-9,-9,-9,-9
54,318,318,0,0,127.2106918,0.976210936,0.995236797,1.246621537
705,11,11,0,0,109.3636364,1.17897385,1.011533725,1.099997296
111,51,51,0,0,156.3137255,0.865969909,1.103760244,1.187815504
454,25,25,0,0,66,0.7,0.661751085,0.649544101
137,291,291,0,0,243.9690722,1.022056619,0.901183059,0.902493579
92,449,449,0,0,447.4521158,0.584795555,0.815809675,0.887329412
1002,1,1,0,0,-9,-9,-9,-9
103,66,66,0,0,60.98484848,0.862805289,0.738330145,0.980581818
373,2,2,0,0,-9,-9,-9,-9
372,22,22,0,0,173.1818182,0.962024273,0.884865736,0.92103686
951,3,3,0,0,-9,1.154700538,1.1426091,1.114924013
182,11,11,0,0,80.90909091,1.626707622,1.131875377,1.047445873
169,54,54,0,0,110.1851852,0.701751679,1.076744764,1.016383273
197,120,120,0,0,6207.566667,0.779286421,0.855605336,1.061498026
1163,1,1,0,0,-9,-9,-9,-9
337,23,23,0,0,48.52173913,0.785321386,0.973357275,1.083853012
820,6,6,0,0,-9,0.471404521,1.306367951,1.330726619
514,10,10,0,0,254.9,0.678232998,1.24498996,1.2
650,1,1,0,0,-9,-9,-9,-9
923,1,1,0,0,-9,-9,-9,-9
873,4,4,0,0,-9,0.992156742,0.442216639,0.853749898
295,102,102,0,0,1870.27451,1.014998892,0.887262029,0.909783695
63,75,75,0,0,100.6,1.285750969,0.805842012,1.088639959
400,17,17,0,0,120.9411765,1.021714923,1.153660602,1.291042192
345,13,13,0,0,95.07692308,0.676092147,0.988094814,1.147901352
728,1,1,0,0,-9,-9,-9,-9
89,594,594,0,0,154.3333333,1.248679426,0.674043509,0.649003788
125,82,82,0,0,78.8902439,0.842164563,1.177522467,1.114539118
792,3,3,0,0,-9,1.187317237,0.715818898,0.276385399
142,26,26,0,0,99.88461538,0.769951585,1.123972246,1.058915377
1027,1,1,0,0,-9,-9,-9,-9
909,3,3,0,0,-9,1.178511302,0.862006703,1.105541597
452,6,6,0,0,-9,1.098452194,1.103354569,1.059657183
204,38,38,0,0,97,1.235283873,1.164456408,1.287359218
483,54,54,0,0,126.9814815,0.748569738,0.940597263,1.022660656
87,30,30,0,0,748.0666667,0.802599942,0.781024968,0.805536398
91,410,407,0,0,319.5429975,0.715653107,0.985930899,0.965286659
376,40,40,0,0,1553.825,1.009254056,0.91023142,0.96923534
665,6,6,0,0,-9,0.978057883,1.411537659,1.173107614
394,5,5,0,0,-9,0.591607978,1.194780315,1.195559652
666,7,7,0,0,-9,0.60080728,0.900680015,0.633865691
868,1,1,0,0,-9,-9,-9,-9
560,19,19,0,0,4176.578947,1.180989772,0.964145977,0.942399747
1019,1,1,0,0,-9,-9,-9,-9
288,110,110,0,0,19.25454545,1.207919802,1.059311633,1.085675361
577,7,7,0,0,-9,0.515078754,1.16368667,1.12
363,34,34,0,0,210.2941176,0.999972967,0.725672341,0.68247812
745,7,7,0,0,-9,0.617557731,0.888561093,0.888561093
106,15,15,0,0,76.46666667,1.22972445,0.864101613,1
153,76,76,0,0,56,0.768350923,0.826273622,0.879062485
440,25,25,0,0,97.36,1.029368739,0.988904035,0.967090909
161,5,5,0,0,-9,0.90967027,1.316841685,1.316841685
23,431,431,0,0,66.19489559,1.10486203,1.309888538,1.24809893
355,20,20,0,0,45.35,0.591475908,1.03738965,1.100239208
68,155,155,0,0,45655.51613,0.982023649,0.9659658,0.860041407
165,17,17,0,0,50.17647059,1.163903467,1.072737584,1.183284094
172,10,10,0,0,135.5,0.93240281,1.081376438,1.09287465
1181,1,1,0,0,-9,-9,-9,-9
46,235,235,0,0,207.0382979,1.003576109,0.959239893,1.012872839
653,1,1,0,0,-9,-9,-9,-9
333,4,4,0,0,-9,0.484122918,1.218349293,1.170937125
61,347,347,0,0,389.7118156,0.984175172,0.730030113,0.833290111
65,200,200,0,0,59.365,0.644775882,0.63328607,0.542545779
